# time disp shear stiffness
5.6656656657e+00 -1.4666089309e-02 -5.1166522327e+05 2.5000000000e+06
5.6756756757e+00 -1.5203872720e-02 -5.1300968180e+05 2.5000000000e+06
5.6856856857e+00 -1.5683232752e-02 -5.1420808188e+05 2.5000000000e+06
5.6956956957e+00 -1.6102058577e-02 -5.1525514644e+05 2.5000000000e+06
5.7057057057e+00 -1.6458472878e-02 -5.1614618220e+05 2.5000000000e+06
5.7157157157e+00 -1.6750840145e-02 -5.1687710036e+05 2.5000000000e+06
5.7257257257e+00 -1.6977774037e-02 -5.1744443509e+05 2.5000000000e+06
5.7357357357e+00 -1.7138143776e-02 -5.1784535944e+05 2.5000000000e+06
5.7457457457e+00 -1.7231079539e-02 -5.1807769885e+05 2.5000000000e+06
5.7557557558e+00 -1.7255976831e-02 -5.1813994208e+05 2.5000000000e+06
5.7657657658e+00 -1.7212499813e-02 -5.1596609120e+05 5.0000000000e+07
5.7757757758e+00 -1.7100583569e-02 -5.1037027898e+05 5.0000000000e+07
5.7857857858e+00 -1.6920435297e-02 -5.0136286537e+05 5.0000000000e+07
5.7957957958e+00 -1.6672534422e-02 -4.8896782163e+05 5.0000000000e+07
5.8058058058e+00 -1.6357631622e-02 -4.7322268165e+05 5.0000000000e+07
5.8158158158e+00 -1.5976746768e-02 -4.5417843891e+05 5.0000000000e+07
5.8258258258e+00 -1.5531165778e-02 -4.3189938941e+05 5.0000000000e+07
5.8358358358e+00 -1.5022436408e-02 -4.0646292094e+05 5.0000000000e+07
5.8458458458e+00 -1.4452362978e-02 -3.7795924943e+05 5.0000000000e+07
5.8558558559e+00 -1.3823000054e-02 -3.4649110323e+05 5.0000000000e+07
5.8658658659e+00 -1.3136645116e-02 -3.1217335633e+05 5.0000000000e+07
5.8758758759e+00 -1.2395830229e-02 -2.7513261198e+05 5.0000000000e+07
5.8858858859e+00 -1.1603312749e-02 -2.3550673798e+05 5.0000000000e+07
5.8958958959e+00 -1.0762065101e-02 -1.9344435559e+05 5.0000000000e+07
5.9059059059e+00 -9.8752636635e-03 -1.4910428371e+05 5.0000000000e+07
5.9159159159e+00 -8.9462768010e-03 -1.0265494059e+05 5.0000000000e+07
5.9259259259e+00 -7.9786520925e-03 -5.4273705160e+04 5.0000000000e+07
5.9359359359e+00 -6.9761028007e-03 -4.1462405718e+03 5.0000000000e+07
5.9459459459e+00 -5.9424936359e-03 4.7534217666e+04 5.0000000000e+07
5.9559559560e+00 -4.8818258678e-03 1.0056760607e+05 5.0000000000e+07
5.9659659660e+00 -3.7982218428e-03 1.5474780732e+05 5.0000000000e+07
5.9759759760e+00 -2.6959089677e-03 2.0986345108e+05 5.0000000000e+07
5.9859859860e+00 -1.5792032201e-03 2.6569873846e+05 5.0000000000e+07
5.9959959960e+00 -4.5249225190e-04 3.2203428687e+05 5.0000000000e+07
6.0060060060e+00 6.7978185007e-04 3.7864799197e+05 5.0000000000e+07
6.0160160160e+00 1.8131400766e-03 4.3531590329e+05 5.0000000000e+07
6.0260260260e+00 2.9430842139e-03 4.8235771053e+05 2.5000000000e+06
6.0360360360e+00 4.0651146970e-03 4.8516278674e+05 2.5000000000e+06
6.0460460460e+00 5.1747485258e-03 4.8793687131e+05 2.5000000000e+06
6.0560560561e+00 6.2675371755e-03 4.9066884294e+05 2.5000000000e+06
6.0660660661e+00 7.3390844272e-03 4.9334771107e+05 2.5000000000e+06
6.0760760761e+00 8.3850640481e-03 4.9596266012e+05 2.5000000000e+06
6.0860860861e+00 9.4012372512e-03 4.9850309313e+05 2.5000000000e+06
6.0960960961e+00 1.0383469863e-02 5.0095867466e+05 2.5000000000e+06
6.1061061061e+00 1.1327749128e-02 5.0331937282e+05 2.5000000000e+06
6.1161161161e+00 1.2230200089e-02 5.0557550022e+05 2.5000000000e+06
6.1261261261e+00 1.3087101462e-02 5.0771775365e+05 2.5000000000e+06
6.1361361361e+00 1.3894900961e-02 5.0973725240e+05 2.5000000000e+06
6.1461461461e+00 1.4650229988e-02 5.1162557497e+05 2.5000000000e+06
6.1561561562e+00 1.5349917646e-02 5.1337479412e+05 2.5000000000e+06
6.1661661662e+00 1.5991004005e-02 5.1497751001e+05 2.5000000000e+06
6.1761761762e+00 1.6570752568e-02 5.1642688142e+05 2.5000000000e+06
6.1861861862e+00 1.7086661891e-02 5.1771665473e+05 2.5000000000e+06
6.1961961962e+00 1.7536476301e-02 5.1884119075e+05 2.5000000000e+06
6.2062062062e+00 1.7918195667e-02 5.1979548917e+05 2.5000000000e+06
6.2162162162e+00 1.8230084186e-02 5.2057521046e+05 2.5000000000e+06
6.2262262262e+00 1.8470678139e-02 5.2117669535e+05 2.5000000000e+06
6.2362362362e+00 1.8638792594e-02 5.2159698148e+05 2.5000000000e+06
6.2462462462e+00 1.8733527013e-02 5.2183381753e+05 2.5000000000e+06
6.2562562563e+00 1.8754269748e-02 5.2188567437e+05 2.5000000000e+06
6.2662662663e+00 1.8700701393e-02 5.1920725661e+05 5.0000000000e+07
6.2762762763e+00 1.8572796988e-02 5.1281203636e+05 5.0000000000e+07
6.2862862863e+00 1.8370827055e-02 5.0271353968e+05 5.0000000000e+07
6.2962962963e+00 1.8095357455e-02 4.8894005969e+05 5.0000000000e+07
6.3063063063e+00 1.7747248076e-02 4.7153459077e+05 5.0000000000e+07
6.3163163163e+00 1.7327650338e-02 4.5055470384e+05 5.0000000000e+07
6.3263263263e+00 1.6838003526e-02 4.2607236327e+05 5.0000000000e+07
6.3363363363e+00 1.6280029976e-02 3.9817368575e+05 5.0000000000e+07
6.3463463463e+00 1.5655729103e-02 3.6695864211e+05 5.0000000000e+07
6.3563563564e+00 1.4967370318e-02 3.3254070286e+05 5.0000000000e+07
6.3663663664e+00 1.4217484840e-02 2.9504642897e+05 5.0000000000e+07
6.3763763764e+00 1.3408856442e-02 2.5461500905e+05 5.0000000000e+07
6.3863863864e+00 1.2544511159e-02 2.1139774491e+05 5.0000000000e+07
