time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
1.32,-0.02695786834806452,0.0008861246120321081,6.122275629111539e-05,3.349647481880204e-05,1.76439712224801e-05,0.000481617083635477,2869.818429884451
1.33,-0.12844647430835035,0.0008453141890211081,5.838493701341882e-05,3.153359962956057e-05,1.635380065833023e-05,0.0004627337747363935,2756.5185764899493
1.34,-0.0227626261648587,0.0008118550987816811,5.5962181570833385e-05,2.9506762296930005e-05,1.5090058454388795e-05,0.0004498426904219332,2679.1720706031874
1.35,0.02191126634277014,0.0007819067960185272,5.3735498191647454e-05,2.7449895475385426e-05,1.3846179867118696e-05,0.0004397931312955815,2618.8747158450774
1.36,0.038012828071594194,0.0007502215237101386,5.1400541912068e-05,2.539756758029207e-05,1.2614755114236982e-05,0.0004283352111263893,2550.127194829924
1.37,0.021935586659169455,0.0007153170983651504,4.8879782569883065e-05,2.337866326241936e-05,1.1390724272961778e-05,0.0004141800859861992,2465.1964439887834
1.3800000000000001,0.04605439894870515,0.0006770331489135951,4.61722705957281e-05,2.1414561676047847e-05,1.0172579131603772e-05,0.00039709926786142807,2362.711535240156
1.3900000000000001,0.13467629317479674,0.0006323969790842664,4.309966727054096e-05,1.95159976419845e-05,8.96376429970074e-06,0.00037471103392025203,2228.3821315931004
1.4000000000000001,0.05046949084223628,0.0005785349531580769,3.9481788882851856e-05,1.767879340243158e-05,7.774090397161282e-06,0.0003447701315012759,2048.736717079243
1.41,-0.11381486621893974,0.0005216022190617029,3.568419205550072e-05,1.5888573593985976e-05,6.617268612833257e-06,0.0003121180957173511,1852.824502375695
1.42,-0.248553137773959,0.0004753182719232644,3.2537969712398444e-05,1.4138122257515115e-05,5.503560310772491e-06,0.0002874715237127946,1704.945070348356
1.43,-0.16609239036902726,0.00044847024494111505,3.058533181463564e-05,1.2443243429566995e-05,4.433589060629069e-06,0.0002776064534437209,1645.7546487339139
1.44,-0.005376227822669809,0.0004362817829741662,2.9551641115374394e-05,1.0840943498546878e-05,3.3997531755726943e-06,0.0002786293669319879,1651.8748891208993
1.45,0.026572114909559585,0.00042786719182019104,2.8791413036983385e-05,9.37291695929138e-06,2.393669456777595e-06,0.00028185839378920254,1671.1923113959347
1.46,0.007900012256682735,0.00041810632312968616,2.8006213536442986e-05,8.072031146566136e-06,1.412237670419996e-06,0.00028314058665734133,1678.8628961924658
