time_s,u_iso_1_m,f_iso_1_N,u_iso_2_m,f_iso_2_N,u_iso_3_m,f_iso_3_N
1.73,-0.0005248342292899864,-1051.7148399990479,-0.0005546527016757175,-1111.9464130625634,-0.0005248342292899863,-1051.7148399990476
1.74,-0.000546073120264328,-1093.7098355506243,-0.0005782277846258952,-1158.4953001946085,-0.0005460731202643279,-1093.7098355506241
1.75,-0.0005606855047752151,-1122.5846897449414,-0.0005950818795034757,-1191.7486180150336,-0.0005606855047752151,-1122.5846897449414
1.76,-0.0005717633796706868,-1144.4647296431065,-0.0006083401160951352,-1217.891409384935,-0.0005717633796706869,-1144.4647296431067
1.77,-0.0005811774759721415,-1163.0509547230154,-0.0006198690901524501,-1240.6121877873613,-0.0005811774759721415,-1163.0509547230154
1.78,-0.0005913339310305789,-1183.0937487044707,-0.0006320957078305188,-1264.6938460741899,-0.0005913339310305789,-1183.0937487044707
1.79,-0.0006127132848315215,-1225.2426589579302,-0.0006557965273165216,-1311.3211558758114,-0.0006127132848315215,-1225.2426589579302
1.8,-0.0006510990741786405,-1300.78033138584,-0.0006969399667644948,-1392.093315265144,-0.0006510990741786405,-1300.78033138584
1.81,-0.0006992269674925201,-1395.2563896580089,-0.000748066533669972,-1492.1841086740683,-0.00069922696749252,-1395.2563896580086
1.82,-0.0007465016703263756,-1487.8182235454333,-0.0007982895030585277,-1590.2179967545594,-0.0007465016703263756,-1487.8182235454333
1.83,-0.0007815037529375905,-1556.2125377935256,-0.0008358602503666885,-1663.3854324230424,-0.0007815037529375905,-1556.2125377935256
1.84,-0.0007965627316530872,-1585.611499959823,-0.0008528696036667775,-1696.4745597887136,-0.0007965627316530872,-1585.611499959823
1.85,-0.0007976544631007353,-1587.7426977544872,-0.0008554585703331576,-1701.510163145306,-0.0007976544631007353,-1587.7426977544872
1.86,-0.0007970274969262578,-1586.488765405532,-0.0008562318171843147,-1703.0140720550744,-0.0007970274969262577,-1586.4887654055317
1.87,-0.0007998662804209725,-1592.0296958144668,-0.0008605203880270822,-1711.352714823804,-0.0007998662804209725,-1592.0296958144668
1.8800000000000001,-0.0008057140581169655,-1603.4397407897825,-0.0008678463168454569,-1725.590359168576,-0.0008057140581169655,-1603.4397407897825
1.8900000000000001,-0.000814463452129776,-1620.5022208522378,-0.0008780953650450108,-1745.495537798539,-0.0008144634521297759,-1620.5022208522375
1.9000000000000001,-0.0008289105133243503,-1648.6506914059223,-0.0008941577800798991,-1776.6577100240931,-0.0008289105133243503,-1648.6506914059223
1.9100000000000001,-0.0008506405115380397,-1690.9309509050424,-0.000917686386009951,-1822.2316279637382,-0.0008506405115380396,-1690.9309509050422
1.92,-0.0008741541116463145,-1736.611763068893,-0.0009430308000710906,-1871.235725044969,-0.0008741541116463144,-1736.6117630688927
1.93,-0.0008976923115992065,-1782.2686587182875,-0.0009683934367970581,-1920.1858315562768,-0.0008976923115992064,-1782.2686587182873
1.94,-0.0009275178829115879,-1840.0028733500617,-0.001000251265851154,-1981.5272094425745,-0.000927517882911588,-1840.0028733500617
1.95,-0.0009605636484005042,-1903.820847019551,-0.0010354601984550224,-2049.1392318587077,-0.0009605636484005043,-1903.820847019551
1.96,-0.0009878937258248005,-1956.4953586653735,-0.0010648091762151598,-2105.3684432228292,-0.0009878937258248005,-1956.495358665373
1.97,-0.0010087596511275168,-1996.6484479815178,-0.0010875121799247506,-2148.785314251669,-0.0010087596511275168,-1996.6484479815174
1.98,-0.0010256132567671382,-2029.0388371646593,-0.0011060723690516057,-2184.225548810357,-0.0010256132567671385,-2029.0388371646593
1.99,-0.0010396795561768738,-2056.042993927256,-0.0011217207722088254,-2214.0669014785412,-0.0010396795561768743,-2056.0429939272562
2.0,-0.0010520832249053976,-2079.832149664449,-0.0011355814936859,-2240.4682940343446,-0.0010520832249053978,-2079.8321496644494
2.0100000000000002,-0.0010594506324349906,-2093.953968590438,-0.0011441357080612356,-2256.75018646675,-0.0010594506324349906,-2093.953968590438
