time_s,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.54,6.873973688623922e-05,137.4706525717311,6.873509414900378e-05,7.44222575765278e-05,148.83359543283356,7.44165103553583e-05,6.873973688623922e-05,137.4706525717311,6.873509414900378e-05
0.55,7.05202355111383e-05,141.0309769669772,7.051523863992809e-05,7.651892537843167e-05,153.02599819026645,7.651268718548594e-05,7.052023551113831e-05,141.03097696697722,7.05152386399281e-05
0.56,7.080718188103412e-05,141.60476038492638,7.080212747201209e-05,7.707610380310898e-05,154.14010351784282,7.706973323027995e-05,7.080718188103412e-05,141.60476038492638,7.080212747201209e-05
0.5700000000000001,7.268358025666408e-05,145.35680387407672,7.267812939390016e-05,7.926439113640116e-05,158.51563346816135,7.925747071290591e-05,7.268358025666407e-05,145.3568038740767,7.267812939390015e-05
0.58,7.79370950015263e-05,155.86140855778396,7.793036792506912e-05,8.492295711709993e-05,169.82966456558978,8.491440465993672e-05,7.793709500152628e-05,155.86140855778393,7.793036792506911e-05
0.59,8.702222040031927e-05,174.0264316605489,8.701274190553524e-05,9.452190439963995e-05,189.02104296658555,9.45099223824324e-05,8.702222040031927e-05,174.0264316605489,8.701274190553524e-05
0.6,9.78076153796753e-05,195.58938237558593,9.779401096716758e-05,0.00010586827420411155,211.70412068404784,0.0001058512069808614,9.78076153796753e-05,195.58938237558593,9.779401096716758e-05
0.61,0.0001067266216464606,213.41967642896196,0.00010670895487595574,0.00011528732568785487,230.53271283997367,0.00011526525277430958,0.0001067266216464606,213.41967642896196,0.00010670895487595574
0.62,0.00011157091772893861,223.10368728096842,0.00011155083974109186,0.00012049928031074522,240.95087295498382,0.00012047418153889963,0.00011157091772893861,223.10368728096842,0.00011155083974109186
0.63,0.00011270306955858653,225.3668984173125,0.00011268241655865994,0.00012186960122620404,243.6899686703248,0.0001218436887093181,0.00011270306955858652,225.36689841731248,0.00011268241655865991
0.64,0.00011258006837221614,225.12089604457174,0.00011255941537228953,0.00012192135475859693,243.79341729267517,0.00012189541148253447,0.00011258006837221613,225.1208960445717,0.00011255941537228952
0.65,0.0001147155935673818,229.38981143281765,0.0001146938168821471,0.00012427080292984634,248.48955733711546,0.00012424340897059516,0.0001147155935673818,229.38981143281765,0.0001146938168821471
0.66,0.00012005038281133914,240.05354904269046,0.0001200255319797666,0.00012988762372493913,259.71600060723534,0.0001298564411761797,0.00012005038281133914,240.05354904269046,0.0001200255319797666
0.67,0.00012504586225939359,250.03857410897555,0.00012501788835949274,0.00013512562948722227,270.1847472262068,0.00013509062330393926,0.00012504586225939356,250.03857410897552,0.0001250178883594927
0.68,0.0001266059309927317,253.1568119561101,0.00012657695729307206,0.0001367927201406212,273.51655896840555,0.0001367564668180755,0.0001266059309927317,253.1568119561101,0.00012657695729307206
0.6900000000000001,0.0001236469052365195,247.23876044368566,0.00012361793153685985,0.00013376733750665202,267.46579370046715,0.00013373108418410627,0.0001236469052365195,247.23876044368566,0.00012361793153685985
0.7000000000000001,0.00011527714618478441,230.49924234021552,0.00011524817248512477,0.00012512050953952152,250.1721377662062,0.0001250842562169758,0.00011527714618478441,230.49924234021552,0.00011524817248512477
0.71,0.00010410936450235629,208.16367897535926,0.00010408039080269665,0.00011353442566645468,226.9999700200725,0.00011349817234390896,0.00010410936450235629,208.16367897535926,0.00010408039080269665
0.72,9.513340763780524e-05,190.21176524625713,9.510443393814558e-05,0.00010414729483283534,208.22570835283383,0.00010411104151028962,9.513340763780524e-05,190.21176524625713,9.510443393814558e-05
0.73,9.142068043562241e-05,182.7863108418915,9.139170673596277e-05,0.00010012955680889866,200.19023230496046,0.00010009330348635294,9.142068043562243e-05,182.78631084189152,9.139170673596278e-05
0.74,9.444679641068607e-05,188.8364925874528,9.441674365599168e-05,0.00010301859751205047,205.96598517791065,0.00010298111864563452,9.444679641068608e-05,188.83649258745282,9.44167436559917e-05
0.75,0.00010076039141661923,201.4588141707148,0.00010072777633108046,0.00010927912737396916,218.48136713674396,0.00010923866021018265,0.00010076039141661923,201.4588141707148,0.00010072777633108046
0.76,0.00010301828527165639,205.9727819174735,0.00010298471231068834,0.00011135930885493956,222.6397710549561,0.00011131781061550639,0.00010301828527165639,205.9727819174735,0.00010298471231068834
0.77,9.927389758994983e-05,198.4840065540604,9.924032462898178e-05,0.00010726185210327181,214.4448575516206,0.00010722035386383864,9.927389758994983e-05,198.4840065540604,9.924032462898178e-05
0.78,9.362034373166566e-05,187.17689883749205,9.358677077069761e-05,0.0001012103434823321,202.34184030974114,0.00010116884524289892,9.362034373166566e-05,187.17689883749205,9.358677077069761e-05
0.79,9.115745175341295e-05,182.2511148809866,9.11238787924449e-05,9.84667883639024e-05,196.85473007288175,9.842529012446922e-05,9.115745175341297e-05,182.25111488098662,9.112387879244492e-05
0.8,9.557121706118643e-05,191.0755838346035,9.553603269920256e-05,0.0001028415874017453,205.60081462348626,0.00010279823993858513,9.557121706118645e-05,191.07558383460352,9.553603269920257e-05
0.81,0.00010634503942112653,212.6139753818735,0.00010630498496829519,0.00011381816738556942,227.54317693318526,0.00011376913694454123,0.00010634503942112652,212.61397538187347,0.00010630498496829518
0.8200000000000001,0.00012068226928898833,241.27257825163795,0.00012063386911723111,0.00012853096787393174,256.9503223416292,0.0001284722239759137,0.00012068226928898832,241.27257825163792,0.0001206338691172311
0.8300000000000001,0.00013925511581487285,278.39092348912936,0.00013919232205665373,0.00014769169980650428,295.240054454649,0.00014761625498631504,0.00013925511581487282,278.3909234891293,0.0001391923220566537
0.84,0.00016511032121847152,330.04782473338,0.00016501936453238572,0.00017446350467446875,348.72181093347416,0.00017435550550843544,0.00016511032121847147,330.0478247333799,0.00016501936453238567
0.85,0.00019662853595276092,392.99177346795494,0.00019648890519614678,0.0002071996078639039,414.08737485767625,0.00020703548109015044,0.00019662853595276092,392.99177346795494,0.00019648890519614678
0.86,0.00022868177898450784,456.9710956496847,0.00022847521986907047,0.00024062962023517395,480.80058254880396,0.00024038822132909819,0.00022868177898450787,456.97109564968474,0.00022847521986907052
0.87,0.00026083198989438857,521.1056580949464,0.00026053813637131977,0.00027431032351541367,547.9698597207824,0.00027396780387854794,0.00026083198989438857,521.1056580949464,0.00026053813637131977
0.88,0.0002958426932716727,590.8948373402511,0.00029542661474372836,0.0003110942126390233,621.267925281828,0.00031060973895680297,0.00029584269327167264,590.894837340251,0.0002954266147437283
0.89,0.00033386379390826335,666.6160766090372,0.0003332787880095847,0.00035113538919617906,700.976526873106,0.00035045420418604637,0.00033386379390826335,666.6160766090372,0.0003332787880095847
0.9,0.0003702888548189505,739.088231044643,0.00036950491871723574,0.0003896762910801577,777.6156369575974,0.00038876210939451663,0.0003702888548189505,739.088231044643,0.00036950491871723574
0.91,0.0003989455233081933,796.0566134891659,0.00039798003218860343,0.0004203305270709328,838.5147083698224,0.0004192008714014364,0.0003989455233081933,796.0566134891659,0.00039798003218860343
0.92,0.0004196250629151498,837.1404119389955,0.0004185146871828845,0.000442846693122799,883.213421308633,0.0004415414484191332,0.0004196250629151498,837.1404119389955,0.0004185146871828845
0.93,0.00043575293394032126,869.1647282364409,0.00043452075518021516,0.00046071366654918,918.6609652387599,0.00045925768346517993,0.00043575293394032126,869.1647282364409,0.00043452075518021516
0.9400000000000001,0.0004492284683882754,895.9103506287768,0.0004478881598894469,0.0004758468262334836,948.6686024439796,0.00047425469464243745,0.00044922846838827535,895.9103506287767,0.00044788815988944686
