time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.61,0.0699520227949027,0.0002083128176517,1.42500295869488e-05,8.13432634330128e-06,5.0413750117347e-06,0.000109580186260555,657.372045218564
0.62,0.0474568457363802,0.000216500843945957,1.48589220489897e-05,8.41713121794216e-06,5.0444491825055e-06,0.000114547035127982,687.158226667549
0.63,0.0282544560623195,0.000219701101096017,1.51597092768088e-05,8.67904714940626e-06,5.03416702456806e-06,0.000115758576673197,694.423744777513
0.64,-0.0354935308723094,0.000221043941904039,1.53358703323996e-05,8.90837737452555e-06,5.01967369433906e-06,0.000115693824859488,694.035175454004
0.65,-0.0692913332617307,0.000225047276963787,1.5657731122249e-05,9.09731133208863e-06,5.00790741563043e-06,0.000117900657431902,707.269144587808
0.66,0.0128546879284311,0.000232938624133436,1.61991958727205e-05,9.24594998813385e-06,5.00184429047702e-06,0.000123329459588643,739.823077445085
0.67,0.0644004953216116,0.00024016577221837,1.66839452889732e-05,9.35848756507323e-06,5.00200892371595e-06,0.000128405781818426,770.261878256896
0.68,0.0392875993960109,0.00024273174687348,1.68684450339954e-05,9.43630288498901e-06,5.00920260285278e-06,0.000130001524994866,779.830168510282
0.69,0.0954997590361446,0.000239209238493214,1.66631290330025e-05,9.47480862198405e-06,5.02563392963755e-06,0.000127020380788568,761.943303272489
0.7,0.0575236221656421,0.000228377879368137,1.59878428961014e-05,9.46263026529895e-06,5.05497499481822e-06,0.00011855826600575,711.170614575587
0.71,-0.054039941370095,0.000213529820343855,1.50364053891892e-05,9.38467533940787e-06,5.10079967715471e-06,0.000107251050883149,643.327323839978
0.72,-0.0487482272666966,0.000201057469009838,1.41949906767983e-05,9.23077804170539e-06,5.16296248497918e-06,9.81380366772992e-05,588.649238604879
0.73,-0.107304161333325,0.000194932189061868,1.37089247378453e-05,9.00304568809692e-06,5.23484879995711e-06,9.43236398486305e-05,565.762857632867
0.74,-0.0758870724850109,0.00019713749904763,1.37101766871503e-05,8.71833038368546e-06,5.30300247353374e-06,9.73040646878997e-05,583.6389777245
0.75,0.0924561247401773,0.000203331935346188,1.3949912524762e-05,8.40345946399306e-06,5.34995119468138e-06,0.000103599971885817,621.399006287869
0.76,0.0997737881362893,0.000204119242457936,1.38689472319328e-05,8.08196830874185e-06,5.3603660338443e-06,0.000105798628789667,634.585348739079
0.77,0.0159487974172516,0.000197026012761481,1.33235982726317e-05,7.76483082067922e-06,5.32531005018302e-06,0.000101936551844902,611.41288707049
0.78,-0.0355413781818412,0.000187355438437041,1.26395276574944e-05,7.45419487002631e-06,5.24102516664554e-06,9.61503467380428e-05,576.695656429332
0.79,-0.113394156973989,0.000181723793319157,1.2222294700914e-05,7.15291042801455e-06,5.10532061858976e-06,9.35939006280912e-05,561.356979769622
0.8,-0.100017982954366,0.000184968002765965,1.23723949791273e-05,6.87196778961464e-06,4.9148942942296e-06,9.79946773392675e-05,587.752003186708
0.81,-0.0274026252045413,0.00019654036881882,1.30655235708877e-05,6.6313556838172e-06,4.66542162493807e-06,0.000108836085652106,652.771149058507
0.82,-0.0472280215565987,0.000212969670012647,1.40998608524727e-05,6.45461736461397e-06,4.3541785272457e-06,0.00012329850573305,739.495500241303
0.83,-0.121339289491474,0.000235290594034614,1.55477887694949e-05,6.36597638041786e-06,3.98159041325166e-06,0.000142067314007222,852.021922502566
0.84,-0.118722562278479,0.000267645346402003,1.76719589870999e-05,6.39363003378742e-06,3.55032596184991e-06,0.000168228052464149,1008.81748085983
0.85,0.0252844520820566,0.000308165625509854,2.03685730787709e-05,6.56932084893208e-06,3.06582708057474e-06,0.000200152229880054,1200.0709414435
0.86,-0.0073065568703761,0.000350425248720688,2.32518433049063e-05,6.91964027682516e-06,2.53986443409013e-06,0.000232664395863731,1394.74279255885
0.87,-0.0686963408115946,0.000394026868106603,2.62974026169318e-05,7.46088415618083e-06,1.99229583426256e-06,0.000265324770720053,1590.18119361389
0.88,-0.0605610586235872,0.000442692123400987,2.97274356296124e-05,8.20297789429456e-06,1.44891635819578e-06,0.000300926535825417,1803.05761666748
0.89,-0.0269323332554128,0.000496748281699878,3.35542867555001e-05,9.1528830964386e-06,9.39298701956968e-07,0.000339620994905854,2034.20869589033
0.9,0.134134602131652,0.000550330784633133,3.74088549064821e-05,1.03102059881182e-05,4.97452632535957e-07,0.000376751335935443,2255.79211398171
0.91,0.0998295686784895,0.000595463750628162,4.07862798005894e-05,1.16581324421361e-05,1.63890696788593e-07,0.000406073860045911,2430.62794925438
0.92,0.0244011857898295,0.000631787440459243,4.36379461317453e-05,1.31614887982189e-05,-1.55926491760163e-08,0.000427365608248405,2557.49425789516
0.93,0.0408821791623758,0.000663573520246881,4.6192615942627e-05,1.47751653034447e-05,4.53553300337442e-09,0.000444073179842211,2656.9904331007
0.94,-0.00586917906760761,0.000693088092843705,4.85572054133095e-05,1.64530161131089e-05,2.6389987892761e-07,0.000458101255784459,2740.48931363601
0.95,0.00517462454748201,0.000721995690272567,5.08069749330865e-05,1.81536800656707e-05,7.92128860652818e-07,0.000470885668378691,2816.55105569011
0.96,-0.000413108216399947,0.000751045747578816,5.29690808162103e-05,1.98446715805598e-05,1.6059812981908e-06,0.000483134706276957,2889.39512980508
0.97,-0.0903414224069851,0.000782458905278894,5.51700167685053e-05,2.15060613593076e-05,2.70730882731222e-06,0.000496678712240444,2969.89990555685
0.98,-0.04394167992368,0.00081965356774428,5.76206756310787e-05,2.31349425388223e-05,4.08151195478958e-06,0.000514239899295393,3074.21282221425
0.99,0.150180804771261,0.000857629397495139,6.00293383809185e-05,2.47420620389826e-05,5.69981663904705e-06,0.000531933016082925,3179.23570434406
1,0.141203856179832,0.000885669689772373,6.17607506077291e-05,2.63370617238796e-05,7.52638206751497e-06,0.000541422589935528,3235.54145300278
